,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M,Deaths/1M,Total Tests,Tests/1M,Population,Continent,%Inc Cases,%Inc Deaths,%Inc Recovered
99,Australia,162016,1786.0,1653,5.0,130922,2063.0,29441,279,6258.0,64.0,42498292,1641540,25889279,Australia/Oceania,1.1023602607149912,0.3024803387779794,1.575747391576664
100,Afghanistan,156071,31.0,7262,2.0,128000,164.0,20809,1124,3894.0,181.0,771431,19247,40080392,Asia,0.01986275477186665,0.02754062241806665,0.12812500000000002
101,Finland,155547,659.0,1150,-1.0,46000,-1.0,108397,34,28016.0,207.0,7411266,1334868,5552061,Europe,0.4236661587815901,-0.08695652173913043,-0.002173913043478261
102,Mozambique,151243,17.0,1929,1.0,148979,313.0,335,32,4667.0,60.0,936296,28893,32405166,Africa,0.011240189628610911,0.05184033177812338,0.2100967250417844
103,Montenegro,141834,542.0,2075,4.0,135571,358.0,4188,57,225789.0,3303.0,803043,1278383,628171,Europe,0.38213686422155474,0.19277108433734938,0.2640682741884326
104,Zimbabwe,132724,36.0,4674,1.0,127497,64.0,553,12,8762.0,309.0,1490416,98393,15147568,Africa,0.027123956481118712,0.02139495079161318,0.05019725954336181
105,Ghana,130008,60.0,1174,2.0,126976,163.0,1858,41,4072.0,37.0,1842458,57711,31925467,Africa,0.0461510060919328,0.17035775127768313,0.12837071572580644
106,Namibia,128859,10.0,3550,-1.0,124468,21.0,841,-1,49534.0,1365.0,743492,285803,2601412,Africa,0.007760420304363685,-0.028169014084507043,0.01687180640807276
107,Uganda,125788,30.0,3200,-1.0,96575,65.0,26013,298,2641.0,67.0,1785306,37478,47636643,Africa,0.02384965179508379,-0.03125,0.06730520320994046
108,Cyprus,121986,162.0,571,-1.0,90755,-1.0,30660,18,100076.0,468.0,9420908,7728815,1218933,Asia,0.13280212483399734,-0.17513134851138354,-0.0011018676656933501
109,Cambodia,118000,112.0,2751,8.0,113527,263.0,1722,-1,6932.0,162.0,2601505,152819,17023399,Asia,0.09491525423728814,0.2908033442384587,0.2316629524254142
110,El Salvador,113422,277.0,3586,11.0,94980,251.0,14856,334,17371.0,549.0,1357788,207953,6529311,North America,0.2442206979245649,0.3067484662576687,0.26426616129711517
111,Cameroon,100289,-1.0,1600,-1.0,80433,-1.0,18256,152,3658.0,58.0,1751774,63901,27413866,Africa,-0.0009971183280319876,-0.0625,-0.0012432707968122536
112,Rwanda,99474,43.0,1321,1.0,45512,1.0,52641,4,7438.0,99.0,3076863,230063,13373978,Africa,0.04322737599774815,0.0757002271006813,0.0021972227104939354
113,Jamaica,88480,49.0,2184,1.0,56944,183.0,29352,32,29709.0,733.0,635655,213437,2978192,North America,0.05537974683544304,0.045787545787545784,0.32136836189941
114,Maldives,87186,115.0,242,2.0,85378,110.0,1566,23,157642.0,438.0,1588558,2872291,553063,Asia,0.13190191085724773,0.8264462809917356,0.12883881093490127
115,Luxembourg,81124,509.0,842,-1.0,78433,260.0,1849,9,126881.0,1317.0,3579957,5599168,639373,Europe,0.6274345446476999,-0.11876484560570072,0.3314931215177285
116,Senegal,73897,1.0,1878,-1.0,71995,1.0,24,3,4266.0,108.0,833323,48104,17323407,Africa,0.001353234908047688,-0.05324813631522897,0.0013889853462045975
117,Angola,64033,103.0,1702,1.0,52833,83.0,9498,28,1872.0,50.0,1092363,31933,34207984,Africa,0.16085455936782597,0.05875440658049354,0.15709878295762117
118,Malawi,61766,1.0,2296,-1.0,57177,44.0,2293,67,3123.0,116.0,423467,21410,19779198,Africa,0.0016190136968558754,-0.04355400696864112,0.0769540199730661
119,Ivory Coast,61221,13.0,691,1.0,59852,29.0,678,-1,2248.0,25.0,1066678,39164,27236329,Africa,0.021234543702324367,0.1447178002894356,0.04845285036423177
120,DRC,57453,-1.0,1091,-1.0,50930,-1.0,5432,-1,617.0,12.0,306299,3289,93135138,Africa,-0.001740553147790368,-0.09165902841429881,-0.00196347928529354
121,Trinidad and Tobago,56013,215.0,1655,5.0,49616,41.0,4742,22,39854.0,1178.0,382242,271970,1405458,North America,0.38383946583828754,0.3021148036253776,0.0826346339890358
122,Réunion,54668,230.0,374,2.0,53879,183.0,415,33,60492.0,414.0,1279618,1415936,903726,Africa,0.42072144581839466,0.53475935828877,0.3396499563837488
123,Guadeloupe,54350,-1.0,736,-1.0,2250,-1.0,51364,23,135802.0,1839.0,495286,1237553,400214,North America,-0.0018399264029438822,-0.1358695652173913,-0.044444444444444446
124,Fiji,52063,35.0,673,-1.0,49081,126.0,2309,-1,57528.0,744.0,437929,483900,904999,Australia/Oceania,0.06722624512609722,-0.1485884101040119,0.2567184857684236
125,Suriname,48548,214.0,1069,5.0,29449,13.0,18030,14,81792.0,1801.0,145862,245744,593552,South America,0.4408008568839087,0.4677268475210477,0.04414411355224286
126,Eswatini,46390,3.0,1242,-1.0,45075,21.0,73,10,39448.0,1056.0,367421,312439,1175976,Africa,0.0064669109721922835,-0.08051529790660225,0.04658901830282862
127,French Guiana,44347,122.0,302,-1.0,9995,-1.0,34050,31,143588.0,978.0,425046,1376221,308850,South America,0.2751031636863824,-0.33112582781456956,-0.010005002501250627
128,Madagascar,42898,-1.0,958,-1.0,41322,-1.0,618,3,1499.0,33.0,249510,8716,28626018,Africa,-0.0023311110075061774,-0.10438413361169101,-0.00242001839213978
129,Martinique,42634,-1.0,670,-1.0,104,-1.0,41860,1,113726.0,1787.0,376921,1005439,374882,North America,-0.00234554580850964,-0.1492537313432836,-0.9615384615384616
130,Syria,42076,277.0,2526,9.0,25926,95.0,13624,-1,2330.0,140.0,103566,5735,18059157,Asia,0.6583325411160756,0.35629453681710216,0.36642752449278715
131,Sudan,40238,-1.0,3099,-1.0,32905,-1.0,4234,-1,890.0,69.0,238579,5279,45194436,Africa,-0.002485212982752622,-0.032268473701193935,-0.00303905181583346
132,French Polynesia,40178,-1.0,635,-1.0,33500,-1.0,6043,12,141948.0,2243.0,26355,93112,283047,Australia/Oceania,-0.002488924286923192,-0.15748031496062992,-0.0029850746268656717
133,Cabo Verde,38151,3.0,349,-1.0,37524,55.0,278,23,67651.0,619.0,211025,374201,563935,Africa,0.007863489816780688,-0.28653295128939826,0.14657286003624348
134,Malta,37580,16.0,460,-1.0,36505,13.0,615,3,84813.0,1038.0,1211456,2734096,443092,Europe,0.04257583821181479,-0.21739130434782608,0.035611560060265716
135,Mauritania,37032,43.0,792,-1.0,35736,33.0,504,22,7699.0,165.0,484600,100745,4810167,Africa,0.11611579174767768,-0.12626262626262627,0.09234385493619879
136,Laos,37018,770.0,56,3.0,6558,-1.0,30404,-1,4993.0,8.0,611160,82428,7414455,Asia,2.0800691555459507,5.357142857142857,-0.015248551387618176
137,Guyana,35170,66.0,899,2.0,30933,178.0,3338,23,44432.0,1136.0,348832,440694,791551,South America,0.18765993744668752,0.22246941045606228,0.5754372353150357
138,Gabon,34898,-1.0,230,-1.0,28567,-1.0,6101,24,15208.0,100.0,1305320,568833,2294735,Africa,-0.0028654937245687433,-0.43478260869565216,-0.0035005425841005355
139,Guinea,30645,3.0,385,-1.0,29501,36.0,759,24,2253.0,28.0,564994,41542,13600567,Africa,0.00978952520802741,-0.2597402597402597,0.12202976170299312
140,Papua New Guinea,28173,278.0,335,-1.0,24502,-1.0,3336,7,3072.0,37.0,207207,22597,9169851,Australia/Oceania,0.9867603734071629,-0.2985074626865672,-0.004081299485756264
141,Belize,26152,271.0,482,6.0,22957,260.0,2713,10,64237.0,1184.0,303238,744837,407120,North America,1.0362496176200673,1.2448132780082988,1.1325521627390338
142,Tanzania,26115,-1.0,725,-1.0,0,0.0,0,7,421.0,12.0,-1,-1,61967997,Africa,-0.003829216925138809,-0.13793103448275862,
143,Togo,26011,11.0,242,-1.0,25474,14.0,295,-1,3048.0,28.0,543576,63698,8533655,Africa,0.04228980046903233,-0.4132231404958678,0.054957996388474525
144,Benin,24678,-1.0,161,-1.0,23971,-1.0,546,5,1968.0,13.0,604310,48190,12540234,Africa,-0.004052192235999676,-0.6211180124223602,-0.004171707479871512
145,Haiti,23619,-1.0,662,-1.0,20249,-1.0,2708,-1,2039.0,57.0,120507,10402,11585458,North America,-0.004233879503789322,-0.1510574018126888,-0.004938515482246037
146,Bahamas,22259,-1.0,642,-1.0,20261,-1.0,1356,15,55900.0,1612.0,155049,389383,398191,North America,-0.004492564805247316,-0.1557632398753894,-0.004935590543408519
147,Seychelles,22086,183.0,119,-1.0,21747,180.0,220,-1,222756.0,1200.0,21504,216886,99149,Africa,0.828579190437381,-0.8403361344537815,0.8277003724651675
148,Lesotho,21598,11.0,657,1.0,12227,38.0,8714,-1,9978.0,304.0,234404,108289,2164610,Africa,0.050930641726085746,0.15220700152207,0.3107876012104359
149,Somalia,21269,-1.0,1180,-1.0,9927,-1.0,10162,-1,1291.0,72.0,239292,14524,16475414,Africa,-0.004701678499224223,-0.0847457627118644,-0.010073536818777071
150,Mayotte,20497,-1.0,182,-1.0,2964,-1.0,17351,-1,72823.0,647.0,176919,628569,281463,Africa,-0.004878762745767673,-0.5494505494505495,-0.033738191632928474
151,Burundi,19945,5.0,38,-1.0,773,-1.0,19134,-1,1614.0,3.0,345742,27983,12355639,Africa,0.0250689395838556,-2.631578947368421,-0.129366106080207
152,Timor-Leste,19778,4.0,121,-1.0,19605,4.0,52,-1,14635.0,90.0,169501,125421,1351460,Asia,0.020224491859642025,-0.8264462809917356,0.0204029584289722
153,Mauritius,17416,273.0,160,7.0,1854,-1.0,15402,-1,13664.0,126.0,358675,281413,1274549,Africa,1.567524115755627,4.375,-0.05393743257820927
154,Tajikistan,17086,-1.0,124,-1.0,16960,-1.0,2,-1,1740.0,13.0,-1,-1,9819148,Asia,-0.0058527449373756285,-0.8064516129032258,-0.00589622641509434
155,Curaçao,17027,15.0,173,-1.0,16703,18.0,151,4,103208.0,1049.0,305800,1853592,164977,North America,0.08809537792917131,-0.5780346820809248,0.10776507214272885
156,Congo,16868,-1.0,249,-1.0,12421,-1.0,4198,-1,2961.0,44.0,188207,33039,5696509,Africa,-0.00592838510789661,-0.4016064257028112,-0.008050881571532083
